"2016-09-08" "2017-06-01" "2017-07-20" "2017-08-05" "2017-08-07" "2017-09-03" "2018-05-21" "2018-06-07" "2018-06-14" "2018-06-15" "2018-06-21" "2018-07-01" "2018-07-04" "2018-07-14" "2018-07-16" "2018-07-18" "2018-07-24" "2018-07-26" "2018-07-31" "2018-08-10" "2018-08-20" "2018-09-09" "2018-09-15" "2018-05-19" "2018-05-20" "2018-06-13" "2018-06-20" "2018-06-21" "2018-07-03" "2018-07-13" "2018-07-21" "2018-07-22" "2018-07-26" "2018-07-30" "2018-09-02" "2018-09-08" "2018-09-10" "2018-09-14" "2018-09-15" "2018-09-17" "2018-09-18" "2016-08-18" "2016-09-03" "2016-09-14" "2017-05-17" "2017-06-13" "2017-06-19" "2017-06-20" "2017-06-23" "2017-06-29" "2017-07-07" "2017-07-14" "2017-07-19" "2017-07-30" "2017-08-03" "2017-08-05" "2017-08-09" "2017-08-10" "2017-08-16" "2017-08-24" "2017-08-31" "2017-09-11" "2017-09-16" "2017-09-17" "2017-09-08" "2017-09-03"
578.921463284575 593.164316753133 751.956339415711 792.194714998659 NA 470.315610305561 796.499458443984 603.519756898576 796.499458443984 642.004619122982 759.179969823425 674.1249273623 769.308779797082 583.524367242366 596.24939787423 488.356519385845 476.206686752993 NA 477.076835172456 NA 766.450328847771 609.749365226351 568.44941606043 566.020000000003 584.680000000003 566.020000000003 NA 519.370000000003 628.220000000003 534.920000000003 454.060000000003 435.400000000002 NA 597.120000000003 581.570000000003 435.400000000002 438.510000000002 429.180000000002 NA 398.080000000002 370.090000000002 NA 488.270000000003 422.960000000002 659.320000000004 538.030000000003 522.480000000003 NA 528.700000000003 578.460000000003 NA 575.350000000003 581.570000000003 550.470000000003 646.880000000004 584.680000000003 553.580000000003 562.910000000003 482.050000000003 394.970000000002 NA 398.080000000002 391.860000000002 363.870000000002 357.650000000002 404.300000000002
587.23158898343 588.027665300581 741.395324596091 791.557494103384 NA 473.52964775091 795.862237548709 618.352926859566 795.862237548709 669.864933397752 748.551129556402 695.176907381028 756.857130631105 590.381583059498 611.96732127062 491.59741677685 479.454527998831 NA 482.47966869943 NA 753.998679681794 621.821670824833 583.699940872683 581.570000000003 590.900000000003 544.250000000003 NA 447.840000000002 609.560000000003 513.150000000003 441.620000000002 429.180000000002 NA 584.680000000003 572.240000000003 438.510000000002 429.180000000002 429.180000000002 NA 373.200000000002 357.650000000002 NA 469.610000000003 373.200000000002 677.980000000004 516.260000000003 488.270000000003 NA 494.490000000003 587.790000000003 NA 566.020000000003 584.680000000003 550.470000000003 712.190000000004 559.800000000003 547.360000000003 562.910000000003 463.390000000003 385.640000000002 NA 394.970000000002 391.860000000002 370.090000000002 363.870000000002 407.410000000002
634.369005827483 534.919502267151 661.935497748039 759.500035220553 NA 472.99189536397 762.087111229845 690.681703536956 762.087111229845 737.318631424503 662.772173801717 670.647591969217 662.873589080951 603.23970022526 676.277648309365 489.202598113101 481.233105845287 NA 489.204106123541 NA 662.772173801717 678.602143091007 617.829107244534 631.330000000003 656.210000000004 566.020000000003 NA 463.390000000003 612.670000000003 556.690000000003 432.290000000002 426.070000000002 NA 600.230000000003 612.670000000003 422.960000000002 422.960000000002 432.290000000002 NA 370.090000000002 332.770000000002 NA 463.390000000003 385.640000000002 640.660000000003 534.920000000003 519.370000000003 NA 503.820000000003 618.890000000003 NA 609.560000000003 622.000000000003 550.470000000003 634.440000000003 622.000000000003 587.790000000003 606.450000000003 460.280000000003 407.410000000002 NA 404.300000000002 398.080000000002 373.200000000002 354.540000000002 416.740000000002
566.782857403497 604.450587168506 761.948741347387 786.582945559958 NA 465.447546019558 791.395037001021 580.887145938493 793.720381981487 593.70983538943 768.843043697161 595.994390380082 778.870438391584 570.116883186156 569.946969744975 477.947086705032 467.773228803377 NA 467.773228803377 NA 776.113402721506 585.907950589163 553.734613459013 575.350000000003 575.350000000003 556.690000000003 NA 475.830000000003 600.230000000003 531.810000000003 466.500000000003 460.280000000003 NA 562.910000000003 575.350000000003 457.170000000003 460.280000000003 460.280000000003 NA 404.300000000002 410.520000000002 NA 485.160000000003 419.850000000002 531.810000000003 541.140000000003 522.480000000003 NA 522.480000000003 575.350000000003 NA 566.020000000003 575.350000000003 547.360000000003 615.780000000003 584.680000000003 550.470000000003 556.690000000003 482.050000000003 426.070000000002 NA 429.180000000002 426.070000000002 404.300000000002 404.300000000002 429.180000000002
575.898986049029 598.022757851409 761.113242225176 793.995350476279 NA 469.741286246338 798.300093921604 594.731490378729 798.503033119899 616.327140155864 768.33687263289 636.59223848327 778.465682606547 578.695486860454 585.304902372496 484.394747317358 473.613280438902 NA 473.613280438902 NA 775.607231657236 600.961098706504 561.262756005196 556.690000000003 569.130000000003 556.690000000003 NA 513.150000000003 597.120000000003 531.810000000003 460.280000000003 441.620000000002 NA 559.800000000003 562.910000000003 457.170000000003 460.280000000003 457.170000000003 NA 401.190000000002 388.750000000002 NA 475.830000000003 438.510000000002 497.600000000003 531.810000000003 510.040000000003 NA 510.040000000003 572.240000000003 NA 550.470000000003 572.240000000003 522.480000000003 578.460000000003 569.130000000003 550.470000000003 547.360000000003 472.720000000003 398.080000000002 NA 394.970000000002 404.300000000002 366.980000000002 351.430000000002 419.850000000002
626.169151013771 552.825745735295 687.081534146474 771.352318240229 NA 472.82534545815 774.311528072875 675.369821824184 774.311528072875 729.516649317859 688.484835508272 695.396150120036 690.742809796022 604.917300354546 661.236383254461 489.475945893014 478.005168754954 NA 483.81969254082 NA 688.484835508272 664.837887927168 612.766527271426 594.010000000003 622.000000000003 538.030000000003 NA 444.730000000002 646.880000000004 547.360000000003 438.510000000002 432.290000000002 NA 637.550000000003 584.680000000003 435.400000000002 435.400000000002 435.400000000002 NA 363.870000000002 366.980000000002 NA 469.610000000003 382.530000000002 681.090000000004 522.480000000003 516.260000000003 NA 519.370000000003 625.110000000003 NA 572.240000000003 584.680000000003 562.910000000003 659.320000000004 575.350000000003 572.240000000003 590.900000000003 469.610000000003 413.630000000002 NA 407.410000000002 413.630000000002 388.750000000002 357.650000000002 416.740000000002
611.291399742454 573.22038684825 710.671866721741 778.873985037493 NA 476.075341798094 783.44878940344 655.15121527575 783.44878940344 714.178143626474 714.231809614499 706.292692154734 718.232011962554 605.587859972618 644.221309007226 493.436973817049 482.270282966637 NA 486.673012242989 NA 715.373561013242 647.316048273966 605.691551169905 581.570000000003 612.670000000003 531.810000000003 NA 444.730000000002 628.220000000003 534.920000000003 438.510000000002 432.290000000002 NA 618.890000000003 581.570000000003 419.850000000002 438.510000000002 444.730000000002 NA 363.870000000002 360.760000000002 NA 463.390000000003 382.530000000002 684.200000000004 528.700000000003 472.720000000003 NA 478.940000000003 600.230000000003 NA 556.690000000003 590.900000000003 556.690000000003 687.310000000004 578.460000000003 547.360000000003 581.570000000003 460.280000000003 404.300000000002 NA 401.190000000002 407.410000000002 391.860000000002 348.320000000002 426.070000000002
637.933486256735 524.421487266401 631.709149873197 741.736971090221 NA 474.437083119 744.324047099512 699.033073809313 744.324047099512 737.903281562209 632.275103849975 642.00922687524 632.275103849975 594.023217698342 684.629018581721 493.331814004764 482.778638137303 NA 493.469596333806 NA 632.275103849975 686.252057681997 616.707042367668 600.230000000003 615.780000000003 544.250000000003 NA 491.380000000003 590.900000000003 566.020000000003 441.620000000002 435.400000000002 NA 597.120000000003 590.900000000003 432.290000000002 398.080000000002 422.960000000002 NA 379.420000000002 357.650000000002 NA 513.150000000003 385.640000000002 609.560000000003 566.020000000003 531.810000000003 NA 525.590000000003 581.570000000003 NA 575.350000000003 578.460000000003 503.820000000003 606.450000000003 572.240000000003 584.680000000003 578.460000000003 472.720000000003 407.410000000002 NA 401.190000000002 391.860000000002 366.980000000002 348.320000000002 413.630000000002
599.995708982645 585.064400346295 730.455010349168 788.361398713718 NA 477.049928736398 792.666142159043 637.076803842713 792.666142159043 695.021945505321 735.596429848171 706.649492635257 741.753191204743 600.464139962001 629.274000652179 494.885158027812 482.974808984319 NA 487.276091948609 NA 738.894740255431 634.829870770128 599.358621966694 553.580000000003 587.790000000003 525.590000000003 NA 426.070000000002 600.230000000003 510.040000000003 444.730000000002 432.290000000002 NA 603.340000000003 562.910000000003 422.960000000002 435.400000000002 444.730000000002 NA 354.540000000002 354.540000000002 NA 469.610000000003 382.530000000002 671.760000000004 522.480000000003 478.940000000003 NA 463.390000000003 581.570000000003 NA 541.140000000003 572.240000000003 497.600000000003 715.300000000004 553.580000000003 531.810000000003 562.910000000003 466.500000000003 398.080000000002 NA 398.080000000002 401.190000000002 370.090000000002 332.770000000002 413.630000000002
643.125784205383 521.274703900269 607.036802297416 730.572866715441 NA 480.808192628454 733.159942724733 708.727187372905 733.159942724733 732.42471006411 609.758572864814 614.8455355149 611.170421377102 587.649331059991 692.911283633025 502.131907926096 488.373430250012 NA 502.404423015792 412.59793289647 611.170421377102 695.43892028309 611.577019611802 600.230000000003 587.790000000003 547.360000000003 NA 506.930000000003 584.680000000003 562.910000000003 441.620000000002 435.400000000002 NA 556.690000000003 575.350000000003 407.410000000002 398.080000000002 401.190000000002 NA 370.090000000002 373.200000000002 NA 538.030000000003 342.100000000002 631.330000000003 547.360000000003 550.470000000003 NA 550.470000000003 556.690000000003 NA 553.580000000003 562.910000000003 500.710000000003 590.900000000003 562.910000000003 559.800000000003 569.130000000003 469.610000000003 422.960000000002 NA 413.630000000002 379.420000000002 363.870000000002 357.650000000002 419.850000000002
