"2018-05-19" "2018-05-20" "2018-06-13" "2018-06-20" "2018-06-21" "2018-07-03" "2018-07-13" "2018-07-21" "2018-07-22" "2018-07-26" "2018-07-30" "2018-09-02" "2018-09-08" "2018-09-10" "2018-09-14" "2018-09-15" "2018-09-17" "2018-09-18" "2016-08-18" "2016-09-03" "2016-09-14" "2017-05-17" "2017-06-13" "2017-06-19" "2017-06-20" "2017-06-23" "2017-06-29" "2017-07-07" "2017-07-14" "2017-07-19" "2017-07-30" "2017-08-03" "2017-08-05" "2017-08-09" "2017-08-10" "2017-08-16" "2017-08-24" "2017-08-31" "2017-09-11" "2017-09-16" "2017-09-17" "2017-09-08" "2017-09-03"
594.010000000003 622.000000000003 538.030000000003 NA 444.730000000002 646.880000000004 547.360000000003 438.510000000002 432.290000000002 NA 637.550000000003 584.680000000003 435.400000000002 435.400000000002 435.400000000002 NA 363.870000000002 366.980000000002 NA 469.610000000003 382.530000000002 681.090000000004 522.480000000003 516.260000000003 NA 519.370000000003 625.110000000003 NA 572.240000000003 584.680000000003 562.910000000003 659.320000000004 575.350000000003 572.240000000003 590.900000000003 469.610000000003 413.630000000002 NA 407.410000000002 413.630000000002 388.750000000002 357.650000000002 416.740000000002
659.320000000004 637.550000000003 649.990000000004 516.260000000003 597.120000000003 659.320000000004 531.810000000003 485.160000000003 469.610000000003 329.660000000002 659.320000000004 662.430000000004 463.390000000003 482.050000000003 466.500000000003 NA 444.730000000002 407.410000000002 NA 513.150000000003 475.830000000003 NA 643.770000000004 519.370000000003 NA 528.700000000003 659.320000000004 634.440000000003 665.540000000004 662.430000000004 649.990000000004 665.540000000004 662.430000000004 597.120000000003 600.230000000003 497.600000000003 466.500000000003 NA 457.170000000003 457.170000000003 426.070000000002 422.960000000002 460.280000000003
581.570000000003 612.670000000003 531.810000000003 NA 444.730000000002 628.220000000003 534.920000000003 438.510000000002 432.290000000002 NA 618.890000000003 581.570000000003 419.850000000002 438.510000000002 444.730000000002 NA 363.870000000002 360.760000000002 NA 463.390000000003 382.530000000002 684.200000000004 528.700000000003 472.720000000003 NA 478.940000000003 600.230000000003 NA 556.690000000003 590.900000000003 556.690000000003 687.310000000004 578.460000000003 547.360000000003 581.570000000003 460.280000000003 404.300000000002 NA 401.190000000002 407.410000000002 391.860000000002 348.320000000002 426.070000000002
600.230000000003 587.790000000003 547.360000000003 NA 506.930000000003 584.680000000003 562.910000000003 441.620000000002 435.400000000002 NA 556.690000000003 575.350000000003 407.410000000002 398.080000000002 401.190000000002 NA 370.090000000002 373.200000000002 NA 538.030000000003 342.100000000002 631.330000000003 547.360000000003 550.470000000003 NA 550.470000000003 556.690000000003 NA 553.580000000003 562.910000000003 500.710000000003 590.900000000003 562.910000000003 559.800000000003 569.130000000003 469.610000000003 422.960000000002 NA 413.630000000002 379.420000000002 363.870000000002 357.650000000002 419.850000000002
805.490000000004 805.490000000004 718.410000000004 NA 737.070000000004 755.730000000004 715.300000000004 622.000000000003 587.790000000003 NA 740.180000000004 749.510000000004 600.230000000003 609.560000000003 615.780000000003 NA 581.570000000003 581.570000000003 NA 690.420000000004 503.820000000003 590.900000000003 715.300000000004 681.090000000004 NA 709.080000000004 758.840000000004 NA 740.180000000004 755.730000000004 727.740000000004 786.830000000004 743.290000000004 733.960000000004 733.960000000004 684.200000000004 531.810000000003 NA 603.340000000003 600.230000000003 581.570000000003 578.460000000003 606.450000000003
519.370000000003 528.700000000003 485.160000000003 NA 494.490000000003 513.150000000003 497.600000000003 450.950000000002 444.730000000002 NA 497.600000000003 503.820000000003 419.850000000002 419.850000000002 426.070000000002 NA 398.080000000002 398.080000000002 NA 491.380000000003 391.860000000002 538.030000000003 478.940000000003 482.050000000003 NA 482.050000000003 510.040000000003 NA 491.380000000003 503.820000000003 450.950000000002 522.480000000003 503.820000000003 497.600000000003 497.600000000003 478.940000000003 404.300000000002 NA 416.740000000002 413.630000000002 385.640000000002 382.530000000002 441.620000000002
569.130000000003 572.240000000003 522.480000000003 NA 475.830000000003 556.690000000003 541.140000000003 450.950000000002 438.510000000002 NA 544.250000000003 559.800000000003 457.170000000003 435.400000000002 416.740000000002 NA 391.860000000002 385.640000000002 NA 531.810000000003 360.760000000002 578.460000000003 522.480000000003 522.480000000003 NA 522.480000000003 538.030000000003 NA 531.810000000003 544.250000000003 488.270000000003 566.020000000003 541.140000000003 538.030000000003 547.360000000003 525.590000000003 438.510000000002 NA 407.410000000002 391.860000000002 385.640000000002 376.310000000002 429.180000000002
391.860000000002 391.860000000002 354.540000000002 NA 370.090000000002 370.090000000002 360.760000000002 307.890000000002 298.560000000002 NA 370.090000000002 373.200000000002 301.670000000002 304.780000000002 304.780000000002 NA 292.340000000002 289.230000000002 NA 345.210000000002 261.240000000001 326.550000000002 348.320000000002 335.880000000002 NA 348.320000000002 373.200000000002 NA 370.090000000002 370.090000000002 314.110000000002 385.640000000002 366.980000000002 360.760000000002 360.760000000002 342.100000000002 270.570000000001 NA 295.450000000002 298.560000000002 289.230000000002 286.120000000002 298.560000000002
622.000000000003 631.330000000003 640.660000000003 482.050000000003 562.910000000003 659.320000000004 531.810000000003 488.270000000003 475.830000000003 326.550000000002 656.210000000004 656.210000000004 457.170000000003 488.270000000003 450.950000000002 NA 441.620000000002 441.620000000002 NA 513.150000000003 472.720000000003 NA 625.110000000003 519.370000000003 NA 531.810000000003 662.430000000004 578.460000000003 656.210000000004 659.320000000004 646.880000000004 665.540000000004 656.210000000004 544.250000000003 572.240000000003 500.710000000003 466.500000000003 NA 460.280000000003 466.500000000003 410.520000000002 438.510000000002 466.500000000003
612.670000000003 618.890000000003 603.340000000003 NA 538.030000000003 615.780000000003 513.150000000003 432.290000000002 410.520000000002 258.130000000001 615.780000000003 615.780000000003 NA 429.180000000002 391.860000000002 208.370000000001 345.210000000002 354.540000000002 NA 491.380000000003 410.520000000002 NA 587.790000000003 NA 510.040000000003 522.480000000003 615.780000000003 569.130000000003 615.780000000003 618.890000000003 618.890000000003 NA 615.780000000003 587.790000000003 575.350000000003 534.920000000003 363.870000000002 236.360000000001 373.200000000002 370.090000000002 320.330000000002 289.230000000002 385.640000000002
