"2016-05-17" "2016-05-30" "2016-06-25" "2016-06-26" "2016-08-18" "2016-08-31" "2016-09-01" "2017-05-31" "2017-06-13" "2017-06-27" "2017-07-15" "2017-07-18" "2017-07-30" "2017-08-06" "2017-08-07" "2017-09-08" "2017-09-15" "2018-05-18" "2018-05-28" "2018-05-29" "2018-06-05" "2018-06-07" "2018-06-08" "2018-06-21" "2018-06-23" "2018-07-07" "2018-07-13" "2018-07-17" "2018-07-20" "2018-07-23" "2018-07-26" "2018-08-23" "2018-09-01" "2018-09-09" "2018-09-11" "2018-09-13"
"924" 480.1853838 688.9383093 0 681.0717729 0 676.8304203 676.8304203 686.4794271 681.0717729 670.4755891 679.05321 0 664.4770892 664.8729482 862.6561451 664.8729482 671.7003189 696.8147315 264.9193445 0 688.9383093 681.0717729 681.0717729 681.0717729 667.1181188 670.4668228 676.5462842 664.8729482 0 662.8451987 666.2251034 NA NA 686.9197465 688.9383093 688.9383093
"925" 532.363545 693.2653612 0 684.4945385 0 679.0446539 679.0446539 690.8064791 684.4945385 692.5334123 680.3547061 0 664.6038583 668.0590783 863.2223804 682.121997 699.8599614 699.9670564 306.964429 0 693.2653612 684.4945385 684.4945385 684.4945385 682.1782878 673.7881732 678.615194 668.0590783 0 665.2284578 668.7097778 NA NA 699.9600611 709.5847699 711.6384293
"926" 578.2901042 694.0972327 0 685.7321797 0 680.282295 680.282295 692.0441202 685.7321797 722.0335823 678.0897701 0 665.6369905 669.3953485 856.2656775 702.722442 733.5996273 699.0490459 358.0899333 0 694.0972327 685.7321797 685.7321797 685.7321797 685.6983837 673.6788888 676.0571716 669.3953485 0 665.2831509 667.4828938 NA NA 717.4672458 734.1563314 738.8073125
"927" 616.9597648 695.4836725 0 687.388386 0 683.6880487 683.6880487 695.4498739 687.388386 755.3402939 676.0440356 0 667.4953014 672.3266839 850.0881216 745.9778859 778.0305831 700.3003016 404.5436129 0 695.4836725 689.1379334 687.388386 689.1379334 687.388386 671.6331543 676.0571716 672.3266839 0 665.2524359 666.2396758 NA NA 755.5096612 775.9006875 781.4898317
"928" 640.1069181 695.1410059 0 685.5246986 0 685.1874537 685.1874537 695.1410059 685.5246986 790.0054773 672.025603 0 669.2649668 673.4964236 838.0854076 789.8200288 824.5344712 699.4844541 446.6594066 0 695.1410059 689.4289911 685.5246986 689.4289911 685.5246986 669.3638009 672.8445778 673.4964236 0 664.35614455 665.7701206 NA NA 797.704198 820.2499695 825.8391137
"929" 647.3438689 693.6705245 0 684.5960027 0 690.820689 690.820689 694.743016 684.5960027 819.2549819 670.556439 0 671.0318148 674.181018 820.5037457 836.5795339 869.7477125 697.1683186 484.118532 0 692.462916 688.9056463 684.5960027 688.9056463 684.5960027 670.049382 671.3548185 674.181018 0 663.0906453 662.9585615 NA NA 843.9215871 867.0078267 872.5969709
"930" 647.5954355 691.3571847 0 681.3719169 0 697.7569743 697.7569743 694.1776861 681.3719169 829.3535606 667.366157 0 670.5035821 674.5635313 793.7669018 887.3418886 915.0955008 694.8871358 506.8746927 0 687.590895 685.6815605 681.3719169 685.6815605 681.3719169 667.366157 667.6328229 674.5635313 0 660.6153275 657.3201517 NA NA 892.2245603 915.2769961 920.8661403
"931" 649.1516036 688.7171986 0 676.6438131 0 701.4706657 701.4706657 690.4559371 675.9761625 821.111438 663.9551616 0 669.3395987 675.4876657 767.1560428 938.644063 963.5754715 693.1177627 508.919386 0 681.8577429 680.9534567 675.9761625 680.9534567 675.9761625 663.9551616 663.6533282 675.4876657 0 659.45147585 653.7309164 NA NA 941.9473732 963.01505 968.6041942
"932" 651.530093 684.5036974 0 671.4836985 0 703.4098459 703.4098459 684.3915363 668.6608908 809.5203107 658.7611595 0 667.5092858 674.6039661 745.8796613 974.0436047 986.6191965 688.8028462 507.0967229 0 675.7933421 675.7933421 668.6608908 675.7933421 668.6608908 658.7611595 658.3726146 674.6039661 0 656.7126105 650.3877561 NA NA 979.7386395 993.2001703 996.3637849
"933" 653.4118935 680.2517576 0 667.2317587 0 702.9253013 702.9253013 682.1584472 662.7955598 786.6725647 656.3984057 0 665.2793652 673.8546036 736.4307228 1006.782046 1001.381186 686.7049103 514.0885614 0 671.5414023 671.5414023 662.7955598 671.5414023 662.7955598 656.3984057 667.382843 673.8546036 0 654.08546415 648.5689957 NA NA 1008.090356 1015.553703 1018.526812
"934" 652.8544177 673.1017845 0 659.6766702 0 715.1419438 715.1419438 676.9941437 654.2349621 762.7097239 651.5397488 0 659.6766702 670.4065713 727.9745873 1014.532095 1005.128316 683.2558874 530.8828766 0 664.3914292 664.3914292 654.2349621 664.3914292 655.2404713 651.5397488 666.9320937 670.4065713 0 649.22686155 641.7585764 NA NA 1017.604746 1021.378045 1022.781425
"935" 651.9313034 666.1960838 0 654.4525699 0 717.8957569 717.8957569 673.2483734 646.8563638 733.3437968 645.107687 0 653.2443613 665.6556157 719.0903769 1022.681666 1008.247133 683.3459684 551.9635124 0 658.4911608 657.2829522 646.8563638 657.2829522 648.8081624 645.107687 675.6068649 665.4528394 0 643.50876345 634.3379172 NA NA 1025.025668 1025.971487 1026.736855
"936" 659.73342 663.9727065 0 653.5718046 0 754.9071186 754.9071186 670.9916535 645.9755984 718.384558 644.7673897 0 655.9288063 672.2436566 719.4137499 1028.921804 1012.071079 690.5007281 578.2582753 0 657.2050443 656.2671834 645.9755984 655.9968357 647.927397 640.6614839 676.3057167 663.7699302 0 642.87217865 632.9576791 NA NA 1029.102521 1029.102521 1016.177403
"937" 675.2462388 662.558169 0 654.1732614 0 792.9233197 792.9233197 672.1536419 646.5770552 706.7875219 645.3688466 0 667.87581 684.336934 733.3484744 1033.058931 1015.245543 703.1456146 603.6105393 0 657.8065012 656.8686402 646.5770552 656.5982925 648.5288538 641.2629408 679.3617509 661.8127058 0 642.9729322 634.316423 NA NA 1039.191091 1028.67486 996.351166
"938" 677.7615605 660.4445585 0 654.27086 0 811.1830423 811.1830423 672.9013338 646.1875452 698.8790147 644.7779684 0 670.2571667 685.8531177 746.1588108 1034.783204 1016.743955 706.5443814 626.9113163 0 658.5096398 657.4154686 646.1875452 657.100063 648.4646436 639.987745 685.451278 659.5748515 0 640.96717365 633.4610453 NA NA 1044.843581 1029.463608 988.4674296
"939" 681.443774 658.3804439 0 651.8439663 0 837.0787138 837.0787138 676.7748998 646.2750014 686.5564543 644.2324114 0 672.8647063 691.3455985 765.1355066 1038.744548 0 718.3472129 648.304695 0 656.082746 654.3555617 646.2750014 654.040156 647.9190865 639.4421879 687.6480734 654.3555617 0 635.6779847 628.1097695 NA NA 1060.223553 0 955.8983279
